,ID,tweet
0,1333882628060024832,"RT @Blackstone_BSX: November was another strong month for #nickel with prices continuing to trend upward.
Nickel monthly news for November…"
1,1333882627829477379,"Good news for Ohio small businesses that Dewine continues to target over a virus with over a 99% recovery rate, and… https://t.co/0A45BJw6no"
2,1333882627611365376,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
3,1333882627560853504,"RT @jsolomonReports: Students are falling behind in math, reading scores stay consistent, new study finds | Just The News
https://t.co/sKt0…"
4,1333882627351322626,"RT @_tykendria_: I pray December will be full of love, good news and blessings."
5,1333882627229708289,@AP Fake news
6,1333882626994823171,@HLemes5 @beach_trades there is no explanation besides someone wanting cheap shares before some type of news
7,1333882626860605442,"RT @ClimateFramo: My suspicion is that risks around this are likely to be much greater in places such as the US and Australia, where strong…"
8,1333882626764103684,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
9,1333882626738778114,Stream Two of NYSC To Resume Camp Thursday - African News Today - https://t.co/bDDqXNlgCw https://t.co/rfwNVP3ym0
10,1333882625853771777,"@BoooogReeeeeee @PoliticalChunk @CTVNews caught EDITING their own news broadcast

As of Nov. 15, 2020

YTD Canadian… https://t.co/lKXalUoj2d"
11,1333882625228906496,"If you're a news org reporting on the ""mysterious monoliths"" without mentioning it's very likely the work of an art… https://t.co/NEB3H780SP"
12,1333882625145135105,@realDonaldTrump @OANN Fake news
13,1333882624566325249,RT @MattNegrin: Just curious — are any reporters or news anchors planning to do stories on a “decline in civility” because top Republicans…
14,1333882624083890176,What two days should I release new chapters of my Novel? #updates #chapter #news #novels #free
15,1333882623584776195,RT @TheBabylonBee: Study Finds Most Americans Trust Dr Pepper Over Dr. Fauci https://t.co/KkAO0fuoPw
16,1333882623400275974,"@Fred_in_Spain That last tweet was total fake news. Was too distracted making fried eggs.

For Tories there were 29… https://t.co/IJy26knFWx"
17,1333882623400185857,"@prageru Biden Team,DON'T QUIT UR DAY JOB! Election Fraud Hearings taking place RITE NOW.God revealed Trump WIN'S 2… https://t.co/WiUSu4eHpX"
18,1333882622850764801,RT @LukeJohnsonRCP: Charles Walker is a hero https://t.co/0p2VwfOnXx
19,1333882622565621764,"RT @AirCanada: As of Dec. 1, @Aeroplan Members making a new eligible international round-trip booking until January 31, 2021 with Air Canad…"
20,1333882622229901312,RT @AlboMP: Scott Morrison hates scrutiny so much he’s got his ministers out there blocking inquiries into the scheme where they built pool…
21,1333882622066483201,"RT @DesignationSix: Lou Dobbs claims that ""this is an attempt to overthrow The President"" &amp; ""He needs to take drastic action"". Here are som…"
22,1333882621722550273,RT @DickWinchester: My gob has been smacked.  @BBCScotlandNews actually went out to find some binmen who were upset that NHS staff &amp; carers…
23,1333882621596733448,@adamm0rgan These are the details https://t.co/olstwI2PmR
24,1333882621173116928,RT @FOX26Houston: Harris County authorities are asking the public for help as they continue to investigate the deadly 2018 shooting of 27-y…
25,1333882621093416963,'Authoritarian' culture of fear prevents healthcare workers from speaking out about public health issues https://t.co/OM3zKnYeFq
26,1333882620967596042,"RT @Sage_Opinion: In light of yesterday's news about the murder of Pat Finucane, I should advise that a gentleman named Ian  Hurst (aka Mar…"
27,1333882620808204288,"Dr. Piot @LSHTM and Dr. Nkengasong @AFRICACDC discuss the need for safe, reliable oxygen in a new @ghn_news op-ed.… https://t.co/W0ybovUt2T"
28,1333882620405559303,"@Indijohal @BDUTT Same Canada that challenged India's farm subsidies in WTO:
https://t.co/MChL2uJWz2
Someone needs… https://t.co/b5g7XGaE2p"
29,1333882619965091843,RT @NatashaBertrand: So this is pretty big news: Barr made Durham a special counsel a couple weeks before the election so that it would be…
30,1333882619742793736,"@Abdel_Cheref @Kamel1692 @Madina_Fly_News Incha Allah ,  I will not miss such an opportunity , lt’ll be a great pleasure ."
31,1333882619596066816,"RT @KeithPrinceAM: Yet again, the Government has had to step in and bail Sadiq Khan out. 

This deal will get Crossrail done but only if Kh…"
32,1333882619537334274,"RT @holyhead6thform: 😀😀 FANTASTIC NEWS!!! Alisha Miah has received her 1st &amp; 2nd conditional offers, @MyBCU to read Psychology with Crimino…"
33,1333882619004596224,RT @rjcmxrell: i pray that December will be full of good news &amp; blessings
34,1333882618660728832,HIV generic drug for babies to be rolled out in Africa in 2021 https://t.co/L4pT2znGfE https://t.co/6iqPrZbltd
35,1333882618396348416,"I feel like I need to highlight this https://t.co/nPBJjoqFMb
Even with a slim 50-50 Senate and a slim Dem majority… https://t.co/FrvISdwBx3"
36,1333882618119663616,12 Essential Tips for Growing Your Business https://t.co/6AfcVcLaKv
37,1333882618018934784,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
38,1333882617926733832,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
39,1333882617821765632,"RT @ProfTerryHughes: Last year, Queensland made $3.52bn from royalties paid by coal exporters. In 2020-21, that figure dropped by &gt;50% to $…"
40,1333882617498923018,RT @davemeltzerWON: Tony Khan notes from today https://t.co/vxEBdna4C2
41,1333882617373085699,".@TempleUniv reported 76 active cases of COVID-19 among students and employees today, up from 74 cases on Monday. https://t.co/Zwkgv5uyu1"
42,1333882617293369344,@dorothyapplebey @ABC The problem is that #OANN is fake news.
43,1333882617167572999,"RT @myVPM: Richmond officials want to know what residents want out of a potential casino resort development, reports @ByRobertoR.
The city…"
44,1333882616936882179,"RT @swilkinsonbc: Released after 15 months, young Palestinian journalism student was forced to endure psychological &amp; physical torture by i…"
45,1333882616471293953,"RT @MiriamCantwell: This is so so upsetting and so so important. We can't just look away. We have to act. 
Donate to your local foodbank, o…"
46,1333882616437682179,@charliekirk11 Charlatan Kirk loses election for Trump https://t.co/KceJpzc2lq
47,1333882615867338754,"RT @TerrapinHoops: NEWS: Maryland's game against Towson scheduled for Dec. 1, has been canceled due to a positive COVID-19 test in the Tows…"
48,1333882615770787840,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
49,1333882615548448769,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
50,1333882615460335617,"RT @UQAmbassadors: Roger Federer got his logo back and we’re celebrating with a line of RF Caps.

8 unique colorways at a price every fan w…"
51,1333882615078801410,"RT @packers: Welcome to Green Bay, @Tayaustin01! 

OFFICIAL: #Packers sign WR Tavon Austin 📰: https://t.co/wy3dYNxAIJ

#GoPackGo https://t.…"
52,1333882614516690944,"@Bryan_E_Leib @hidehunt1 FAKE NEWS on trial, too.... they're in CYA mode...."
53,1333882614512496642,"RT @steve_hanke: #Venezuela's army has started mining #Bitcoin to make ends meet. With the #economy in shambles and #Inflation raging, at 2…"
54,1333882614344663040,"RT @johniadarola: Biden's outspoken nominee to run budget office deletes 1,000 tweets https://t.co/MisaJc428f"
55,1333882613895999490,"RT @TrueNorthCentre: According to the latest economic update, taxpayers can expect to spend $3.16 billion on Trudeau's promise to plant 2 b…"
56,1333882613673562112,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
57,1333882612830572548,"@localanxiousbae Depends on how bad.

The worst news... Yes... I begin to laugh like a villain who just found out t… https://t.co/HmHa57V7Fu"
58,1333882612813864963,RT @Daily_Express: Britons SPLIT over whether to BAN those who refuse vaccine from bars and restaurants -poll https://t.co/gM8PwYL3lm
59,1333882612625121280,Conservatives push for parliamentary committee study of failed vaccine deal https://t.co/COVwt4mjWl https://t.co/jtUjTeDqhv
60,1333882612012630018,"RT @PSUdotcom: PS5 Comes Out On Top With Forbes Calling Xbox Series X 2020’s ‘Biggest Gaming Disappointment
https://t.co/wdlNhUUHk8
#PS5 #X…"
61,1333882611316387842,RT @nytimes: Breaking News: Attorney General William Barr said that the Justice Department hasn’t uncovered voting fraud at a scale that co…
62,1333882610825662464,@Thomasg916 @sacbee_news @tclift They refuse to help fix it and they allowed Nevada and other states to ship their homeless ppl here
63,1333882610532175873,RT @diannembromley: UK zoo faces closure for animal cruelty after hundreds die https://t.co/VwpR9lV7Bu via @YahooNews
64,1333882610217455616,just woke up to elliot page news ?? hi king i’m so proud of you
65,1333882610083360768,RT @Itsrickaaa: December will be filled with good news. December will be filled with good news. December will be filled with good news.
