,ID,tweet
0,1333854548067278848,@giaontwteer @midarisbxtch Its a good name but people always make fun of me or call me by celebreties name like Ban… https://t.co/MqMOGjbZoE
1,1333849951965753347,"RT @D3ATHC4MP: why can't yall behave when celebreties come out, just respect the man wtf"
2,1333847346417971202,"why can't yall behave when celebreties come out, just respect the man wtf"
3,1333822149627297793,"@cqlwwx I'm convinced that celebreties can be trusted with cake😭 An oh, is that a brick? I'm convinced it is🤣"
4,1333815137883590665,Thing I will remember from 2 lockdowns is these  fucking narcissistic celebreties . 2 days running -first Rita brai… https://t.co/lOuW55T950
5,1333750224028913664,@ovotingz @_Mrt_XX @Sermanson_2002 @MesnataShady @shadyfenty_ @NerotheHuman @X2TAKER_YT @god_primero @Southpawers O… https://t.co/mwmaUFsM7Y
6,1333708717330636800,@billboard Better to ask for forgiveness than permission right? These celebreties give me the 💩’s always lecturing… https://t.co/IQCbsHFX1l
7,1333620368561549312,"@TheGreatNobby @ithiaf_ @imane They didn't ruin their life,they're doing good financially and social wise.
They're… https://t.co/mKRXPvMlX2"
8,1333584342585663488,"@MotherWitAdv It is sad that some of the celebreties, GOP members are with trump just so their
interest rates stay… https://t.co/J0tSBxPcUk"
9,1333556405253627905,So students can be fined for breaching civil guidelines but not celebreties. Not all in it together at all
10,1333550986435174405,"@themattcastro the older episodes were reeeeeally good, the scripts were geniusly made and the jokes original. I be… https://t.co/HBmGHdlfzS"
11,1333509307212722176,"@ZODlACFAE OKAY BUT THE SAME THOUGH,,,,,,,,,,,,, I TOLD MYSELF ID STOP FALLING IN LOVE WITH MIDDLE AGED (/2000 YEAR… https://t.co/x68KUTzWwa"
12,1333388510108200963,"@essexoldbird @DudleyButt If you take the worst newspaper here in Flanders, Het Laatste Nieuws, you still get a pre… https://t.co/FKiWggC5EG"
13,1333340144817106944,@KayBurley @KateGreenSU @MarcusRashford When your society is a society that trusts celebreties over politicians it'… https://t.co/YvlIn06fda
14,1333329940868055040,@ynamagendaaa Put a fingerdown if you are willing to be part of the celebreties😅💖
15,1333321664659156992,@socalledcharlie Yeap! I had heard charmy voice at a bookstore a couple of years ago. Then I looked where the voice… https://t.co/7VZDz7F4Kc
16,1333308499074428928,Celebreties(@BarackObama +@MichelleObama +@SpeakerPelosi +@RepJerryNadler +@DickDurbin+@realDonaldTrump+… https://t.co/52P96rAaaM
17,1333254827757998081,@suckerbabies OMG CELEBRETIES LOVE ME
18,1333181511588319233,@JAjueny isnt she like the poster child of celebreties whos bisexuality is erased lmao her and angie jolie
19,1333171580004798470,"@uwucalz @tinaciouscri @B1GK4T its called that because it originated like that, you dant own an accent. if you have… https://t.co/uLnQznm3rZ"
20,1333159054982647810,"@ClareW55009353 @Madz_Grant @DaveLloyd12345 Celebreties, she said, not daytime rent-a-gobs."
21,1333054365809209344,Let's hear all the woke average twitter user and overinflated celebreties talk about #DavidProwse when previously they didn't give a shit. 😂
22,1332828655295164416,"If we dont like their work, these bollywood celebreties will abuse us this way?? #BoycottBollywood https://t.co/4xhkkPtl4k"
23,1332689383250669569,RT @Bob_da_Phoenix: Treat your friends like you do celebreties.
24,1332688938415366144,RT @Bob_da_Phoenix: Treat your friends like you do celebreties.
25,1332687204506886155,RT @TwanTheMystik: Even some politicians &amp; celebreties showed their asses &amp; had a lot of us questioning them big time. That's because when…
26,1332685712555118595,Even some politicians &amp; celebreties showed their asses &amp; had a lot of us questioning them big time. That's because… https://t.co/5MSQhG7Y75
27,1332616382484074497,"@newsmax newsmax pls stop promoting celebreties. its not helping, we are at war."
28,1332501630944649218,"CELEBRETIES ABOUT NOEL👇👇
   Happy birthday 🎂🎉🎂🎈 Noel Anna
#HBDGangStarNoel 
#NoelSean https://t.co/QwPmbcawIS"
29,1332396916567584771,And I don't mean v-tubers or celebreties. I mean some other user or rando in internet.
30,1332361059580207104,RT @Bob_da_Phoenix: Treat your friends like you do celebreties.
31,1332350272354455553,@TradeBOC How to see celebreties followers on facebook??!! Can you please say me with a reply ? #wantingtoknowsomething
32,1332347494206906369,"@jnkim not u putting ""me"" in the middle of the celebreties 😭"
33,1332293804603437059,Treat your friends like you do celebreties.
34,1332277033087459330,"ROBERT DE NIRO AND OTHER HOLLYWOOD CELEBRETIES AFTER HEARING THAT 
K R A K E N  HAS BEEN RELEASED https://t.co/o3TNwEyniy"
35,1332207964720140290,@RigerlikeTiger @ShaedM @Bigwulf They are celebreties and as such have a role model position. So them expressing th… https://t.co/r0DiuuXQE8
36,1332176985204940801,celebreties..... yeah anyways
37,1332167850706890752,“Online social networking identifies the new need for celebreties to stay connected in some way to this shifted rel… https://t.co/BmrbwBfY5r
38,1332164802228097024,"RT @lalit_dalmia: “Wishing you a day filled with happiness and a year filled with joy. ""Happy birthday""
@princenarula8  @rakhisawantt 

#ra…"
39,1332118543161303040,"For you Thanksgiving is a dinner. But for Indigenous people it is a difficult time. It is a tale of violence,histor… https://t.co/RMy92pzShr"
40,1332116220003291138,"It should be normalize how Kpop Celebreties are doing normal things, or even before they became a star... I just..… https://t.co/YkrxptLlDI"
41,1332077033191583745,@ThatRealDani @BrobergMatthew @_DionneWarwick I might print it and frame it for my wall. There are so so few celebr… https://t.co/kmmuZYBnim
