,ID,tweet
0,1333871660886265857,RT @PoliticsPollss: There is mounting pressure on Matt Hancock to explain how his former neighbour was awarded  £30m-worth of work making t…
1,1333871660538204165,William Barr: No evidence of widespread fraud in presidential election - CNNPolitics https://t.co/iUjIV2Wgzw
2,1333871660504670209,"RT @doctor_oxford: Just how exactly did @MattHancock’s mate &amp; neighbour, a man with *no* experience in medical supplies, win a £30 million…"
3,1333871659992961024,I know you get mad when I mix beer and politics.
4,1333871659376398338,"@realDonaldTrump In the meantime...

https://t.co/tiscWu7Veh"
5,1333871659061813248,"RT @SCVIndy: Appears some republicans grasping tying their future to lying trump

https://t.co/Yz2dQOke91

is a bad choice considering trum…"
6,1333871658663292932,"RT @Shehzad_Ind: MIND YOUR OWN BUSINESS AND POLITICS  #JustinTrudeau

RT if u agree"
7,1333871658512379906,"RT @EUVoteLeave23rd: Boris caves: UK gives in on Brexit red line, Barnier tells MEPs - 'British have accepted' https://t.co/QA3SZp1ca3"
8,1333871657811927042,"RT @TheFreds: A spineless political class, sadly no surprise, the Iraq war, cash for questions, MP’s expenses. They have form https://t.co/…"
9,1333871657484619776,RT @waltshaub: How Republican Senators find the chutzpah to criticize any nominee’s tweets is totally amazing. This is the party of Rep. El…
10,1333871656998232070,RT @NBCNews: BREAKING: AG Barr tells the AP that the U.S. Justice Dept. has not uncovered evidence of widespread voter fraud that would cha…
11,1333871656767512576,RT @jilevin: Barr: No evidence of fraud that'd change election outcome https://t.co/voImwDKRwP https://t.co/5WwI7SsCoN
12,1333871656381550592,RT @teachaged: @ThePubliusUSA 80 million Americans say we’ve had enough of the grift and con. We don’t say no but HELL NO to any more trump…
13,1333871654393483266,RT @carriesheffield: US Postal Service subcontractor Ethan Pease says USPS workers were ordered to backdate ballots illegally to have them…
14,1333871654297100293,"RT @washingtonpost: Analysis: Trump’s campaign ends as his first one began, surrounded by outcasts and cranks https://t.co/d2h6dJdosv"
15,1333871654087389185,RT @CNNSotu: William Barr says there is no evidence of widespread fraud in presidential election | ⁦@evanperez⁩  https://t.co/4k69Zd6VhD
16,1333871654032838661,"Trump allies to ask Supreme Court to block Pennsylvania ruling on mail-in ballots https://t.co/MmXgIcxpmd 
#Resist… https://t.co/jHPv5NvcKg"
17,1333871653000974336,RT @mil_ops: I am beginning to think this whole COVID lockdown is to prevent a revolt by the people once they all realize their elected off…
18,1333871650568368134,"RT @doctor_oxford: Just how exactly did @MattHancock’s mate &amp; neighbour, a man with *no* experience in medical supplies, win a £30 million…"
19,1333871650413162498,".@IsaacDovere on top Biden adviser Anita Dunn. 

If you don't know, now you know. 

https://t.co/b70GVrJB52"
20,1333871650157301762,RT @people: Justice Sonia Sotomayor Gives Advice to Gloria Estefan's Daughter Emily About the Next Generation​ https://t.co/NHkOjRwVVW
21,1333871649830043648,"@arappeport I hope @Newyorktimes has more live video feeds because the only ""stark divide"" was between what Jones,… https://t.co/NEuyjqTl4W"
22,1333871649368793088,"RT @cnnbrk: The DOJ hasn't found evidence of widespread fraud that could've changed the result of the presidential election, Attorney Gener…"
23,1333871648299249670,RT @waltshaub: How Republican Senators find the chutzpah to criticize any nominee’s tweets is totally amazing. This is the party of Rep. El…
24,1333871646554398723,"RT @elliott_downing: Nothing says ""MAGA"" more than donating millions of dollars to the presidential campaign of a wealthy man who's already…"
25,1333871646369779730,RT @maggieNYT: .@abc confirms our story on Giuliani discussing a preemptive pardon for himself and also others floating them for trump fami…
26,1333871645681913870,RT @waltshaub: How Republican Senators find the chutzpah to criticize any nominee’s tweets is totally amazing. This is the party of Rep. Pa…
27,1333871644893384704,"RT @PoliticsPollss: The Scottish government has been accused of ""stoking up division"" by calling on the Treasury to make its £500 bonus to…"
28,1333871644167737344,RT @maggieNYT: .@abc confirms our story on Giuliani discussing a preemptive pardon for himself and also others floating them for trump fami…
29,1333871643459014663,RT @IOL: ANC Women’s League president Bathabile Dlamini said Public Enterprises Minister Pravin Gordhan has plunged the country into the mu…
30,1333871642292875264,"RT @DrHillairet: Nike’d stay from politics and don’t raise a problem that doesn’t really exist. 
Of course, sometimes teens are bullies.

J…"
31,1333871642204917761,"RT @carriesheffield: Jesse Morgan, truck driver with USPS subcontractor says he was suspicious of his cargo load of 288K filled out ballots…"
32,1333871641349132288,RT @EricSchmittNYT: Pentagon purge deepens as White House loyalist ousts a top counterterrorism official who was briefing incoming Biden te…
33,1333871641244348419,"RT @maddow: ""Atlas was the only medical adviser the president met with regularly for several months...""

the only???

in the midst of the p…"
34,1333871638446809088,"RT @MaximeBernier: LibCon @erinotoole supports the lockdowns and thinks you should all be vaccinated before we deal with the economy. 
http…"
35,1333871637213696006,RT @maggieNYT: .@abc confirms our story on Giuliani discussing a preemptive pardon for himself and also others floating them for trump fami…
36,1333871635494014980,RT @Nedfoley: Important @rickhasen column; timely words that need emphasis now: electoral competition can't work unless both sides play fai…
37,1333871635330461696,RT @CNN: The Justice Department hasn't found evidence to support allegations of widespread fraud that could have changed the result of last…
38,1333871635322048517,RT @BillKristol: He. Is. A. Con. Man. https://t.co/SbDV0uHFMM
39,1333871634843885574,RT @PoliticsPollss: A new tougher tier system of coronavirus restrictions for England will begin on Wednesday after the plan was approved b…
40,1333871634088947712,"RT @briantylercohen: If you’re wondering why Trump won’t concede, it’s because he used his bogus election fraud claims to grift $150 millio…"
41,1333871632948076549,"@westgate55 @namaste_am @Christopher_C_S @ResistsAj @RealKHiveQueenB For me, in Nebraska, it goes well beyond just… https://t.co/Dtn9SIkbJG"
42,1333871632771903488,RT @HopeSprings10: Attorney General Barr: No evidence of widespread election fraud https://t.co/Dt0piG9xyl
43,1333871631928860673,"RT @hilaryagro: We can either have billionaires, or we can make sure all children are fed, with warm beds to sleep in.

Pick one. We cannot…"
44,1333871631559749641,RT @cathleendecker: NEW: Trump allies to ask Supreme Court to block Pennsylvania ruling on mail-in ballots by @scotusreporter @eliseviebeck…
45,1333871629970018304,RT @waltshaub: How Republican Senators find the chutzpah to criticize any nominee’s tweets is totally amazing. This is the party of Rep. Pa…
46,1333871629064040448,RT @VivianHo: This lede. Incredible snapshot into a weary world by the indefatigable @jilltucker https://t.co/n8zoKGJrKp https://t.co/hHrTy…
47,1333871627231252485,"RT @CNN: President-elect Joe Biden formally nominates Janet Yellen as Treasury chief and makes other key economic team picks, calling the g…"
48,1333871626782445571,"RT @PoliticsPollss: A no-deal Brexit will damage sectors helping the battered economy recover from coronavirus, the UK’s fiscal watchdog ha…"
49,1333871626488668160,William Barr Makes It Harder For Biden To Fire John Durham By Making Him A Special Counsel https://t.co/Nby4d3srSn https://t.co/etb2mhzqzX
50,1333871626077671426,Granted i know she isn't perfect and has done some problematic thing im also not educated enough to know enough abo… https://t.co/VMzYIPBjvd
51,1333871624026775558,"@tkl8585 @rufusdrl @brianstelter @FoxNews LMFAO
https://t.co/yaWmTKIJ28"
52,1333871623921950728,"RT @DavidCornDC: Did you see this? @kloeffler opposed additional COVID aid this summer. At the same time, her husband's mega-company—of whi…"
53,1333871623108083712,"RT @DavidCornDC: SCOOP: @SenatorLoeffler opposed extending COVID aid. But at the same time, Intercontinental Exchange, her husband's firm (…"
54,1333871623015952385,"RT @BillKristol: “Through it all, as Trump's charges have grown more and more untethered and vitriolic, McConnell, McCarthy and other top G…"
55,1333871622042882058,"RT @Sunday36765856: @APOSTLESULEMAN You have reason to be bitter, but remember what the Bible says about our Leaders, pray for them, global…"
56,1333871621589839878,"RT @BillKristol: “Through it all, as Trump's charges have grown more and more untethered and vitriolic, McConnell, McCarthy and other top G…"
57,1333871620717506562,"RT @Rozkez67: This is a SCANDAL!. 

This should not be allowed!

Not ever!. 
 https://t.co/dukMEPW36V"
58,1333871619295506432,RT @NBCNews: BREAKING: AG Barr tells the AP that the U.S. Justice Dept. has not uncovered evidence of widespread voter fraud that would cha…
59,1333871618284720128,"RT @TheConsciousLee: 4/6 It’s so many people Lost in The Sauce of Respectability Politics, y’all blindly uphold it regardless of its implic…"
60,1333871617781293057,"RT @ABC: BREAKING: The Justice Department hasn't found widespread voting fraud that could have changed the outcome of the election, Attorne…"
