,ID,tweet
0,1333886635998662658,BBC also reports on the issue briefly and not to the same depth as CNN. CNN gives more context into how Halima Aden… https://t.co/tCDCPLzxIC
1,1333886607091503107,"THE FACE OF FASHION IS FEAR, @UrbanOutfitters!

Stop selling clothing made from animals. https://t.co/Cbzhtn7492"
2,1333886591736180738,I’m all for RiRi and A$AP!! Hell that’s a fashion couple!!
3,1333886590687522822,"Be quick to get your hands on this new launch
https://t.co/zb6ARXIU1p"
4,1333886590620487685,New Rapper Xxxtentacion Pants Summer Fall Casual Trousers Straight Pants Sweatpants Harem Pants Cartoon Mens Jogger… https://t.co/l2qu6zlkpH
5,1333886576888320007,"Please RT and help 418 families keep their homes : https://t.co/zo1lTlUaRc

#selfie #love #instagood #london… https://t.co/JQzlcCUIqi"
6,1333886570621911041,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
7,1333886567258202114,RT @HiraethMusic9: If you truly wanted to change this world for the better then you would encourage people to love &amp; accept themselves for…
8,1333886555489001482,Get my art printed on awesome products. Support me at Redbubble #RBandME:  https://t.co/BblrOUBGRX #findyourthing #redbubble
9,1333886548618702849,Watching Mr Smith Goes to Washington and my favorite thing is that it's full of good boys in the Monster Factory fa… https://t.co/KcOglxh0Me
10,1333886540536115202,"""I try to contrast; life today is full of contrast... We have to change."" Gianni Versace #fashioncollapse #fashion #quotes"
11,1333886534374846466,RT @colorxcurls: If fashion nova text me one more fucking time 😑😑😑 I ain’t buying shìt damn ! https://t.co/iteH0yQIEa
12,1333886529169747970,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
13,1333886528779640834,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
14,1333886527982751744,I ordered damn near the whole fashion nova
15,1333886523444518914,who ever said this have no style nor a fashion sense https://t.co/QNyf75UQbx
16,1333886520567205891,RT @indretailer: The December issue of Independent Retailer is finally here! Learn all about retail predictions for 2021 from experts in th…
17,1333886515701714944,"@ShabbyHoffman @Itmechr3 What kind of designer? Nobody just says designer - industrial, fashion, graphic???? 
Or di… https://t.co/t0VGM38eGU"
18,1333886513239764999,"RT @javiergdocampo: 🏴 @kalmabrand
With @crirg
&amp; Film by AMUZIproductions
———————————————
New recording  New shooting
•
•
•
•
•
#film 
#make…"
19,1333886510391848964,"Please RT and help 418 families keep their homes : https://t.co/zo1lTlUaRc

#happy #love #instagood #photooftheday… https://t.co/6mZ6YFSA6b"
20,1333886504607727616,RT @cleanse29: Winter Hats for Men Woman New Beanies Knitted Solid Cute Hat Girls Autumn Female Beanie Caps Warmer Bonnet Ladies Casual Cap…
21,1333886499402764289,RT @sfvol6: exactly harries and fashion 🥰 https://t.co/oWeMJOCgRh
22,1333886488061366275,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
23,1333886485418958856,"RT @Hutch_Legend: #INXS - ‘Welcome To Wherever You Are’ album shoot. 💿 

#MichaelHutchence #90sMusic #90sBands #90sNostalgia #90s #RockNRol…"
24,1333886484865282049,isn’t it funny how little kids have no conception of fashion?
25,1333886482914942976,RT @pchapman24: Miami Vice: Florida Fashion Designer Awarded New PPE Contracts Worth £197 Million https://t.co/bR2kr0ZI8u
26,1333886432889491457,RT @kcrimsontide: Check out Jaase Annabelle Feathers Playsuit Romper Large L Spaghetti Strap Long Train NWT #Jaase #romper #fashion https:/…
27,1333886428846182407,"RT @UnwrapO: WATCH: 
It is that time of the year again where we get to see the glitz and the glam and creativity come from all various tale…"
28,1333886424010014721,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
29,1333886420109447170,"RT @reilukah: ⭐️15k Street Fashion Raffle!💫

Winner receives an illustration of their character in a custom outfit I design + a magazine co…"
30,1333886416053473286,RT @Kaiami: I've been notified that my ghostie pin has been knocked off by she*n. It makes me nauseous to know how many people have purchas…
31,1333886410772910083,Blue Bracelet - Ceramic Jewelry - Silver Jewellery - Beaded - Chunky - Fashion https://t.co/5owkk3Wun8 via @Etsy
32,1333886394519986182,RT @wef: 30% of the fashion industry's CO2 emissions come from washing and drying our clothes. 🔎 Learn more about how the fashion industry…
33,1333886382411018246,RT @valleniel: he's a fashion king https://t.co/QZ33DRhjwY
