,ID,tweet
0,1333878745673969664,🔥🔥 Enter this new #giveaway from @budlight for your chance to WIN a new gaming PC! ONLY on @PLAYRgg . Enter for FRE… https://t.co/pDLwQ77KxP
1,1333878745275527171,"Check out our Gamer Blog at https://t.co/FPeEYstpBm for all of the latest and greatest in gaming news!

Game On!
Vi… https://t.co/WVHD5TH6eS"
2,1333878729647513602,RT @GriefBurrito: #December is quickly approaching and as YOU voted for an #podcast episode EVERY👏SINGLE👏DAY👏 we're doing listener question…
3,1333878719933386753,"RT @PLAYRgg: 🌟 THE GGWP GAMING PC GIVEAWAY 🌟

Are you a PC gamer that could use an upgrade? Peep this MAJOR giveaway from @budlight x @Pimp…"
4,1333878712081661952,"🅻🅸🆅🅴 🅸🅽 1 🅷🅾🆄🆁
Weird, Crazy &amp; Awesome News 🐙 ELDRITCH TWITCH
https://t.co/kekNfnaMts

#SupportSmallStreamers #news #gaming #horror"
5,1333878710122946560,@Arsonall @josenava6489 @wurm32 @Nick_Marseil I admit. The Xbox Series X has caught my attention with it's backward… https://t.co/CKABDuS7Ut
6,1333878708046852105,Survey says more older Americans are gaming now more than ever. https://t.co/CYxWLQs6EM
7,1333878706075537423,"Lifestyle Solutions Akron Gaming Office Chair with Faux Leather for $79!! (Retail: $109)

https://t.co/ls1FwNR5ae… https://t.co/xFfPixivJu"
8,1333878704339083264,"RT @LGUK: Experience next-gen gaming at its best with LG and @XboxUK. To win 1 of 2 Xbox Series X, follow these steps: 

1. Like &amp; RT this…"
9,1333878695677882377,Gamers Gaming https://t.co/pyLGZTcwV5
10,1333878694440529929,A worthy edition to any gaming collection. https://t.co/JPGIO5vLol
11,1333878692779487232,RT @DouglasKidd14: I love this feature that the SSD drive fits into a nes cartridge that slips in the NES frame where the raspberry pi is :…
12,1333878681652047872,@iamtherealak @Brparadox_ Yo when we gaming?
13,1333878679705968646,"RT @Pocstars_: #DeathStrandingPC #Live Part 10 - Whooped Mads Miks arse and now to unravel more of this amazing story!
@TheLiveShowTeam
#Tw…"
14,1333878679206846467,@DripKxxd @dngr_gaming @hipinq shut😎
15,1333878676803424257,"RT @SonnexJodie: Playstation people, anyone playing borderlands #borderlands3 #PlayStation #gearbox #borderlands #gaming #psn"
16,1333878676425904129,"Huuuggggeee Fortnite Event!!! Get in here and lets do this!. We are playing some Call of Duty: Warzone
https://t.co/RK7nl4aUKU"
17,1333878675486482436,"RT @misskala06: Active Pub Stomping orgs. Where are you? Let's start organizing some pub wars together! I have ideas....
@LethalLLC @JJMthe…"
